0,1
0,1
0,2
0,2
0,3
0,3
1,9
1,9
1,10
1,10
3,10
3,10
5,9
5,9
5,10
5,10
9,11
9,11
10,12
10,12
10,13
10,13
10,14
10,14
10,15
10,15
10,16
10,16
10,17
10,17
10,18
10,18
11,19
11,19
11,20
11,20
11,22
11,22
11,23
11,23
11,24
11,24
12,19
12,19
13,23
13,23
14,19
14,19
15,19
15,19
16,19
16,19
17,20
17,20
17,22
17,22
17,23
17,23
17,26
17,26
18,21
18,21
19,27
19,27
20,28
20,28
21,29
21,29
22,27
22,27
23,29
23,29
23,34
23,34
24,32
24,32
25,27
25,27
26,27
26,27
26,28
26,28
26,29
26,29
27,38
27,38
28,38
28,38
29,35
29,35
30,36
30,36
31,35
31,35
32,38
32,38
33,36
33,36
34,38
34,38
35,39
35,39
36,41
36,41
37,41
37,41
38,42
38,42
39,44
39,44
40,43
40,43
41,44
41,44
42,43
42,43
42,46
42,46
43,49
43,49
44,47
44,47
45,47
45,47
45,48
45,48
45,49
45,49
46,48
46,48
47,51
47,51
48,51
48,51
49,51
49,51
50,51
50,51
51,52
51,52
51,53
51,53
51,54
51,54
51,55
51,55
51,56
51,56
51,57
51,57
51,58
51,58
51,59
51,59
52,62
52,62
52,63
52,63
