[],2
[0],8
[1],9
[2],9
[3],9
[4],9
[5],9
[6],9
[7],8
[7 8],16
[4 8],10
[2 8],15
[0 8],15
[1 8],15
[3 8],16
[6 8],13
[5 8],13
[2 9],12
[6 9],16
[1 9],11
[4 9],10
[3 9],17
[0 9],16
[5 9],13
[7 9],15
[ 1  8 10],21
[ 5  9 10],18
[ 6  8 10],21
[ 2  9 10],21
[ 7  8 10],23
[ 3  8 10],21
[ 2  8 10],23
[ 4  8 10],21
[ 0  8 10],24
[ 3  9 10],22
[ 7  9 10],23
[ 4  9 10],22
[ 1  9 10],22
[ 5  8 10],21
[ 0  9 10],20
[ 6  9 10],22
[ 5  8 11],20
[ 2  9 11],21
[ 4  8 11],21
[ 6  9 11],19
[ 7  9 11],23
[ 1  8 11],21
[ 7  8 11],20
[ 6  8 11],21
[ 5  9 11],23
[ 4  9 11],19
[ 2  8 11],24
[ 1  9 11],23
[ 0  8 11],24
[ 3  8 11],20
[ 3  9 11],22
[ 0  9 11],19
[ 4  8 12],22
[ 3  9 12],19
[ 5  9 12],20
[ 0  8 12],23
[ 6  8 12],23
[ 2  8 12],22
[ 2  9 12],22
[ 6  9 12],22
[ 7  8 12],18
[ 3  8 12],18
[ 1  9 12],19
[ 5  8 12],19
[ 0  9 12],22
[ 4  9 12],18
[ 7  9 12],22
[ 1  8 12],18
[ 2  9 13],21
[ 4  8 13],24
[ 1  8 13],25
[ 7  8 13],24
[ 7  9 13],18
[ 5  9 13],18
[ 6  9 13],21
[ 2  8 13],24
[ 3  8 13],23
[ 4  9 13],23
[ 5  8 13],23
[ 1  9 13],21
[ 0  8 13],25
[ 3  9 13],21
[ 0  9 13],24
[ 6  8 13],19
[ 2  9 14],18
[ 1  9 14],19
[ 3  9 14],22
[ 6  9 14],23
[ 4  8 14],20
[ 7  8 14],20
[ 5  9 14],18
[ 7  9 14],19
[ 0  8 14],24
[ 1  8 14],24
[ 0  9 14],23
[ 6  8 14],20
[ 3  8 14],18
[ 2  8 14],24
[ 4  9 14],23
[ 5  8 14],20
[ 4  8 15],20
[ 6  8 15],18
[ 7  8 15],18
[ 3  8 15],20
[ 2  9 15],23
[ 0  8 15],18
[ 5  8 15],18
[ 7  9 15],21
[ 2  8 15],24
[ 6  9 15],18
[ 1  9 15],24
[ 1  8 15],24
[ 0  9 15],18
[ 4  9 15],18
[ 5  9 15],20
[ 3  9 15],24
[ 0  9 16],24
[ 5  8 16],18
[ 1  8 16],23
[ 0  8 16],22
[ 1  9 16],23
[ 6  9 16],25
[ 2  9 16],21
[ 7  9 16],22
[ 4  8 16],19
[ 5  9 16],19
[ 3  8 16],21
[ 7  8 16],21
[ 6  8 16],25
[ 2  8 16],20
[ 3  9 16],22
[ 4  9 16],19
[ 6  9 17],20
[ 5  9 17],19
[ 3  9 17],18
[ 2  9 17],18
[ 7  9 17],18
[ 6  8 17],19
[ 1  8 17],18
[ 4  8 17],18
[ 0  9 17],20
[ 3  8 17],18
[ 5  8 17],23
[ 2  8 17],23
[ 7  8 17],23
[ 1  9 17],18
[ 4  9 17],18
[ 0  8 17],23
[ 5  8 11 18],27
[ 2  9 11 18],27
[ 5  9 17 18],28
[ 3  9 12 18],33
[ 4  8 14 18],31
[ 6  9 17 18],28
[ 4  8 17 18],33
[ 6  8 11 18],32
[ 7  8 15 18],27
